model,brier,log_loss,auc,base_rate,n,brier_skill_vs_clim
dipcast (pooled + site offsets),0.04452666480478931,0.1531375839658142,0.9296224482709355,0.07452901508966102,826725,0.33472946929124237
pooled only,0.04516644980683494,0.15546722096641133,0.9269349719863249,0.07452901508966102,826725,0.325170475602485
climatology (site rate),0.06693016261723189,0.24549946709096848,0.7679368360115901,0.07452901508966102,826725,0.0
rain rule (>10mm/48h),0.06214195885826933,0.2238167250857611,0.7582174025046298,0.07452901508966102,826725,0.071540297703233
rain rule (>5mm/48h),0.06326029360355935,0.22137438875721963,0.7688195237314354,0.07452901508966102,826725,0.054831317752210174
