id,name,lat,lon,kind,source,notes
cam-grantchester,"River Cam, Grantchester Meadows",52.188,0.098,river,curated,
great-ouse-houghton,"River Great Ouse, Houghton Mill",52.3283,-0.1143,river,curated,
waveney-outney-common,"River Waveney, Outney Common, Bungay",52.459,1.43,river,curated,
stour-dedham,"River Stour, Dedham",51.96,0.995,river,curated,
thames-lechlade,"River Thames, Lechlade",51.692,-1.689,river,curated,
thames-buscot-weir,"River Thames, Buscot Weir",51.679,-1.665,river,curated,
thames-clifton-hampden,"River Thames, Clifton Hampden",51.654,-1.21,river,curated,
thames-hurley,"River Thames, Hurley",51.549,-0.812,river,curated,
thames-port-meadow,"River Thames, Port Meadow, Oxford",51.7715,-1.2905,river,curated,
ouse-barcombe-mills,"River Ouse (Sussex), Barcombe Mills",50.9086,0.0298,river,curated,
medway-tonbridge,"River Medway, Tonbridge",51.196,0.274,river,curated,
